# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 125K of event 'cycles'
# Event count (approx.): 93452432520
#
# Children      Self  Command          Shared Object          Symbol                                 
# ........  ........  ...............  .....................  .......................................
#
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1cfe4
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __update_load_avg_se
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] rcu_core
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000000fff
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __raw_spin_lock_irqsave
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] hrtimer_wakeup
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] tick_program_event
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x00000000000027ff
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000001fff
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] perf_adjust_freq_unthr_context
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] prepare_task_switch
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] update_rq_clock
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __calc_delta
     0.00%     0.00%  nbody3D_1_CLANG  nbody3D_1_CLANG_Ofast  [.] .omp_outlined..4
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000079529
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d52d
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000007910a
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d10c
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] clockevents_program_event
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x000000000000000f
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __run_timers.part.0
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] run_timer_softirq
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000000009
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000000800
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] intel_gpio_irq_mask_unmask
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] generic_handle_irq
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] handle_irq_desc
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] handle_level_irq
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] intel_gpio_irq_mask
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] tasklet_hi_action
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] tasklet_action_common.constprop.0
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] execlists_submission_tasklet
     0.00%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] _IO_setb
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] common_file_perm
     0.00%     0.00%  nbody3D_1_CLANG  ld-linux-x86-64.so.2   [.] _dl_map_object
     0.00%     0.00%  nbody3D_1_CLANG  ld-linux-x86-64.so.2   [.] mprotect
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __x64_sys_mprotect
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] do_mprotect_pkey
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] security_file_mprotect
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] apparmor_file_mprotect
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000791b4
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1cfb0
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000079188
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d19a
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] rcu_note_context_switch
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] entry_SYSCALL_64
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000007955c
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d562
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1cfba
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000791a4
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d1aa
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000794de
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d4e3
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __perf_event_task_sched_in
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000007915a
