# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 120K of event 'cycles'
# Event count (approx.): 95286242180
#
# Children      Self  Command          Shared Object        Symbol                                
# ........  ........  ...............  ...................  ......................................
#
    98.42%    98.34%  nbody3D_1_GCC_O  nbody3D_1_GCC_Ofast  [.] move_particles._omp_fn.1
            |          
             --98.41%--move_particles._omp_fn.1

     1.18%     0.00%  nbody3D_1_GCC_O  [unknown]            [k] 0000000000000000
            |
            ---0
               |          
                --0.91%--0x7ff13bcfa7ba

     0.91%     0.91%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00000000000207b8
            |
            ---0
               0x7ff13bcfa7ba

     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] obj_cgroup_charge
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] refill_obj_stock
     0.00%     0.00%  nbody3D_1_GCC_O  nbody3D_1_GCC_Ofast  [.] move_particles._omp_fn.2
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00000000000207be
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa7c3
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] exc_page_fault
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] do_user_addr_fault
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001def0
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcf7ef6
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] _raw_spin_lock_irq
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x0000000000020910
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcfa914
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] pvclock_gtod_notify
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] timekeeping_update
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x000000000001485b
     0.00%     0.00%  nbody3D_1_GCC_O  libgomp.so.1.0.0     [.] 0x00007ff13bcee85c
     0.00%     0.00%  nbody3D_1_GCC_O  [kernel.kallsyms]    [k] __cgroup_account_cputime_field
